Year,Month,Country,Mode,TradeType,TradeValue
1993,4,Canada,Mail (U.S. Postal Service),Export,2196433.0
1993,4,Canada,Mail (U.S. Postal Service),Unknown,833438.0
1993,4,Canada,Other/Unknown,Export,4448460413.0
1993,4,Canada,Other/Unknown,Unknown,573415742.0
1993,4,Canada,Pipeline,Export,24172165.0
1993,4,Canada,Pipeline,Unknown,1438036004.0
1993,4,Canada,Rail,Export,1902558096.0
1993,4,Canada,Rail,Unknown,3661068283.0
1993,4,Canada,Truck,Export,13785088557.0
1993,4,Canada,Truck,Unknown,11943066661.0
1993,4,Mexico,Mail (U.S. Postal Service),Export,2874381.0
1993,4,Mexico,Mail (U.S. Postal Service),Unknown,98446.0
1993,4,Mexico,Other/Unknown,Export,1607586135.0
1993,4,Mexico,Other/Unknown,Unknown,40727428.0
1993,4,Mexico,Pipeline,Export,172340.0
1993,4,Mexico,Pipeline,Unknown,35399373.0
1993,4,Mexico,Rail,Export,234433202.0
1993,4,Mexico,Rail,Unknown,667691255.0
1993,4,Mexico,Truck,Export,1388003532.0
1993,4,Mexico,Truck,Unknown,2144790505.0
1993,5,Mexico,Mail (U.S. Postal Service),Unknown,68286.0
1993,5,Mexico,Other/Unknown,Export,1449963305.0
1993,5,Mexico,Other/Unknown,Unknown,39706287.0
1993,5,Mexico,Pipeline,Export,141317.0
1993,5,Mexico,Pipeline,Unknown,31990023.0
1993,5,Mexico,Rail,Export,198369166.0
1993,5,Mexico,Rail,Unknown,631682260.0
1993,5,Mexico,Truck,Export,1541955269.0
1993,5,Mexico,Truck,Unknown,2083503189.0
1993,6,Canada,Mail (U.S. Postal Service),Export,3879757.0
1993,6,Canada,Mail (U.S. Postal Service),Unknown,500886.0
1993,6,Canada,Other/Unknown,Export,2586420570.0
1993,6,Canada,Other/Unknown,Unknown,336022611.0
1993,6,Canada,Pipeline,Export,7473755.0
1993,6,Canada,Pipeline,Unknown,775605148.0
1993,6,Canada,Rail,Export,950198016.0
1993,6,Canada,Rail,Unknown,1913905213.0
1993,6,Canada,Truck,Export,6979512259.0
1993,6,Canada,Truck,Unknown,6085379308.0
1993,6,Mexico,Mail (U.S. Postal Service),Export,3198305.0
1993,6,Mexico,Mail (U.S. Postal Service),Unknown,564031.0
1993,6,Mexico,Other/Unknown,Export,864099803.0
1993,6,Mexico,Other/Unknown,Unknown,65462586.0
1993,6,Mexico,Pipeline,Unknown,29027164.0
1993,6,Mexico,Rail,Export,234577443.0
1993,6,Mexico,Rail,Unknown,774679138.0
1993,6,Mexico,Truck,Export,2241035189.0
1993,6,Mexico,Truck,Unknown,2191888758.0
1993,7,Canada,Mail (U.S. Postal Service),Export,1723391.0
1993,7,Canada,Mail (U.S. Postal Service),Unknown,725218.0
1993,7,Canada,Other/Unknown,Export,1064645416.0
1993,7,Canada,Other/Unknown,Unknown,260154134.0
1993,7,Canada,Pipeline,Export,12483386.0
1993,7,Canada,Pipeline,Unknown,731776407.0
