Year,PortCode,Port,StateCode,State,Mode,TradeType,TradeValue,Weight,FreightCharges,Region,Lat,Lon,WeightLb
2007,2301,Brownsville,AL,Alabama,Rail,Export,6297880.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AL,Alabama,Rail,Import,13609197.0,13626.63,26486.0,Pharr,25.95155,-97.40067,30041.54
2007,2301,Brownsville,AL,Alabama,Truck,Export,66677322.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AL,Alabama,Truck,Import,25455502.0,3658.45,66200.0,Pharr,25.95155,-97.40067,8065.49
2007,2301,Brownsville,AL,Alabama,Vessel,Import,440358.0,155705.12,46238.0,Pharr,25.95155,-97.40067,343270.62
2007,2301,Brownsville,AZ,Arizona,Rail,Export,217148.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AZ,Arizona,Rail,Import,199296.0,478.95,6000.0,Pharr,25.95155,-97.40067,1055.9
2007,2301,Brownsville,AZ,Arizona,Truck,Export,2647704.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AZ,Arizona,Truck,Import,2955591.0,416.73,25166.0,Pharr,25.95155,-97.40067,918.73
2007,2301,Brownsville,AR,Arkansas,Other/Unknown,Export,121985.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AR,Arkansas,Rail,Export,3182774.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AR,Arkansas,Truck,Export,24729203.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,AR,Arkansas,Truck,Import,1185184.0,515.72,7246.0,Pharr,25.95155,-97.40067,1136.97
2007,2301,Brownsville,CA,California,Air,Export,8770.0,0.14,0.0,Pharr,25.95155,-97.40067,0.31
2007,2301,Brownsville,CA,California,Other/Unknown,Export,12129.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CA,California,Rail,Export,28055509.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CA,California,Rail,Import,7185158.0,10918.62,155117.0,Pharr,25.95155,-97.40067,24071.41
2007,2301,Brownsville,CA,California,Truck,Export,71455725.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CA,California,Truck,Import,65496075.0,15917.17,285719.0,Pharr,25.95155,-97.40067,35091.31
2007,2301,Brownsville,CO,Colorado,Truck,Export,1753630.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CO,Colorado,Truck,Import,2343865.0,3348.04,17346.0,Pharr,25.95155,-97.40067,7381.16
2007,2301,Brownsville,CT,Connecticut,Other/Unknown,Export,29805.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CT,Connecticut,Rail,Export,318262.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CT,Connecticut,Truck,Export,15936894.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,CT,Connecticut,Truck,Import,76134634.0,13472.23,380166.0,Pharr,25.95155,-97.40067,29701.15
2007,2301,Brownsville,DE,Delaware,Rail,Export,276850.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,DE,Delaware,Truck,Export,2748154.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,DE,Delaware,Truck,Import,116284.0,3.99,1083.0,Pharr,25.95155,-97.40067,8.8
2007,2301,Brownsville,DC,District of Columbia,Truck,Export,3000.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,FL,Florida,Air,Export,2556260.0,6.07,0.0,Pharr,25.95155,-97.40067,13.38
2007,2301,Brownsville,FL,Florida,Other/Unknown,Export,4000.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,FL,Florida,Rail,Export,6094768.0,,0.0,Pharr,25.95155,-97.40067,
2007,2301,Brownsville,FL,Florida,Rail,Import,20631.0,214.13,1400.0,Pharr,25.95155,-97.40067,472.08
2007,2301,Brownsville,FL,Florida,Truck,Export,36069662.0,,0.0,Pharr,25.95155,-97.40067,
