Year,StateCode,State,Country,Mode,TradeType,TradeValue
1993,AK,Alaska,Canada,Mail (U.S. Postal Service),Export,100978.0
1993,AK,Alaska,Canada,Mail (U.S. Postal Service),Unknown,50075.0
1993,AK,Alaska,Canada,Other/Unknown,Export,1455697.0
1993,AK,Alaska,Canada,Other/Unknown,Unknown,53455382.0
1993,AK,Alaska,Canada,Pipeline,Export,126789.0
1993,AK,Alaska,Canada,Rail,Export,1613886.0
1993,AK,Alaska,Canada,Rail,Unknown,1725808.0
1993,AK,Alaska,Canada,Truck,Export,39555345.0
1993,AK,Alaska,Canada,Truck,Unknown,38189632.0
1993,AK,Alaska,Mexico,Other/Unknown,Export,6009.0
1993,AK,Alaska,Mexico,Rail,Export,3710.0
1993,AK,Alaska,Mexico,Truck,Export,253462.0
1993,AK,Alaska,Mexico,Truck,Unknown,4089977.0
1993,AL,Alabama,Canada,Mail (U.S. Postal Service),Export,21159.0
1993,AL,Alabama,Canada,Mail (U.S. Postal Service),Unknown,1308.0
1993,AL,Alabama,Canada,Other/Unknown,Export,26735353.0
1993,AL,Alabama,Canada,Other/Unknown,Unknown,173198.0
1993,AL,Alabama,Canada,Pipeline,Export,62568.0
1993,AL,Alabama,Canada,Rail,Export,31664906.0
1993,AL,Alabama,Canada,Rail,Unknown,104487866.0
1993,AL,Alabama,Canada,Truck,Export,402314861.0
1993,AL,Alabama,Canada,Truck,Unknown,237527159.0
1993,AL,Alabama,Mexico,Other/Unknown,Export,7748490.0
1993,AL,Alabama,Mexico,Other/Unknown,Unknown,20665.0
1993,AL,Alabama,Mexico,Rail,Export,15489503.0
1993,AL,Alabama,Mexico,Rail,Unknown,18949047.0
1993,AL,Alabama,Mexico,Truck,Export,100722916.0
1993,AL,Alabama,Mexico,Truck,Unknown,210364551.0
1993,AR,Arkansas,Canada,Mail (U.S. Postal Service),Export,2698.0
1993,AR,Arkansas,Canada,Other/Unknown,Export,15136223.0
1993,AR,Arkansas,Canada,Other/Unknown,Unknown,41487.0
1993,AR,Arkansas,Canada,Rail,Export,26264692.0
1993,AR,Arkansas,Canada,Rail,Unknown,89231124.0
1993,AR,Arkansas,Canada,Truck,Export,279558349.0
1993,AR,Arkansas,Canada,Truck,Unknown,156849580.0
1993,AR,Arkansas,Mexico,Other/Unknown,Export,24748641.0
1993,AR,Arkansas,Mexico,Other/Unknown,Unknown,341328.0
1993,AR,Arkansas,Mexico,Rail,Export,2801238.0
1993,AR,Arkansas,Mexico,Rail,Unknown,1319781.0
1993,AR,Arkansas,Mexico,Truck,Export,28480435.0
1993,AR,Arkansas,Mexico,Truck,Unknown,46717232.0
1993,AZ,Arizona,Canada,Mail (U.S. Postal Service),Export,18147.0
1993,AZ,Arizona,Canada,Mail (U.S. Postal Service),Unknown,16235.0
1993,AZ,Arizona,Canada,Other/Unknown,Export,11650766.0
1993,AZ,Arizona,Canada,Other/Unknown,Unknown,7597679.0
1993,AZ,Arizona,Canada,Rail,Export,6495566.0
1993,AZ,Arizona,Canada,Rail,Unknown,30872642.0
1993,AZ,Arizona,Canada,Truck,Export,220886072.0
1993,AZ,Arizona,Canada,Truck,Unknown,131751952.0
1993,AZ,Arizona,Mexico,Mail (U.S. Postal Service),Unknown,399095.0
1993,AZ,Arizona,Mexico,Other/Unknown,Export,139155214.0
1993,AZ,Arizona,Mexico,Other/Unknown,Unknown,117842096.0
1993,AZ,Arizona,Mexico,Rail,Export,20115324.0
1993,AZ,Arizona,Mexico,Rail,Unknown,44675021.0
1993,AZ,Arizona,Mexico,Truck,Export,616967735.0
1993,AZ,Arizona,Mexico,Truck,Unknown,1400512352.0
1993,CA,California,Canada,Mail (U.S. Postal Service),Export,1232500.0
1993,CA,California,Canada,Mail (U.S. Postal Service),Unknown,167922.0
1993,CA,California,Canada,Other/Unknown,Export,195700871.0
1993,CA,California,Canada,Other/Unknown,Unknown,95139522.0
1993,CA,California,Canada,Pipeline,Export,492192.0
1993,CA,California,Canada,Pipeline,Unknown,1299306.0
1993,CA,California,Canada,Rail,Export,359794665.0
1993,CA,California,Canada,Rail,Unknown,1523279500.0
